Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MOEAD,ZDT3,8,EP,0.572667723784708
MOEAD,ZDT3,8,HV,0.5204193250996537
MOEAD,ZDT3,9,GD,0.21363499446491255
MOEAD,ZDT3,9,EP,0.4665979670031559
MOEAD,ZDT3,9,HV,0.5981413131246132
MOEAD,ZDT3,0,Time,7.7839977741241455
MOEAD,ZDT3,1,Time,7.616999626159668
MOEAD,ZDT3,10,Time,8.526070594787598
MOEAD,ZDT3,11,Time,7.501999855041504
MOEAD,ZDT3,12,Time,7.441999197006226
MOEAD,ZDT3,13,Time,8.000000238418579
MOEAD,ZDT3,14,Time,7.932027578353882
MOEAD,ZDT3,15,Time,7.808027982711792
MOEAD,ZDT3,16,Time,7.654340982437134
MOEAD,ZDT3,17,Time,7.3760316371917725
MOEAD,ZDT3,18,Time,7.814001560211182
MOEAD,ZDT3,19,Time,7.9450297355651855
MOEAD,ZDT3,2,Time,7.658030033111572
MOEAD,ZDT3,20,Time,7.995000839233398
MOEAD,ZDT3,21,Time,7.403025388717651
MOEAD,ZDT3,22,Time,7.72203254699707
MOEAD,ZDT3,23,Time,7.748002052307129
MOEAD,ZDT3,24,Time,7.430023908615112
MOEAD,ZDT3,25,Time,7.336028814315796
MOEAD,ZDT3,26,Time,7.43500018119812
MOEAD,ZDT3,27,Time,7.407872438430786
MOEAD,ZDT3,28,Time,8.079030752182007
MOEAD,ZDT3,29,Time,7.722985506057739
MOEAD,ZDT3,3,Time,8.504036664962769
MOEAD,ZDT3,4,Time,7.389033079147339
MOEAD,ZDT3,5,Time,7.375030279159546
MOEAD,ZDT3,6,Time,7.500032424926758
MOEAD,ZDT3,7,Time,7.352032899856567
MOEAD,ZDT3,8,Time,7.949998140335083
MOEAD,ZDT3,9,Time,8.05600380897522
MOEAD,ZDT4,0,GD,4.403777935247672
MOEAD,ZDT4,0,EP,1.7199766934263896
MOEAD,ZDT4,0,HV,0.0
MOEAD,ZDT4,1,GD,6.806699600177076
MOEAD,ZDT4,1,EP,3.6046392242021357
MOEAD,ZDT4,1,HV,0.0
MOEAD,ZDT4,10,GD,6.7709990529643616
MOEAD,ZDT4,10,EP,2.701282368551549
MOEAD,ZDT4,10,HV,0.0
MOEAD,ZDT4,11,GD,3.705996283227515
MOEAD,ZDT4,11,EP,2.867353212954921
MOEAD,ZDT4,11,HV,0.0
MOEAD,ZDT4,12,GD,5.3497051731785294
MOEAD,ZDT4,12,EP,3.142512092393083
